REGION	DISCTRICT	SETTLEMENT	TYPE	LON	LAT	CORNU	NOTABLE PRODUCTS	Cat1	Cat2	PRODUCT DIVERSITY	PRODUCT	JSON	
al-Iraq	al-Basra	Abbadan	towns	48.27639	30.33599	Cornu 3	Reed mats			low	other	 { "lat": 30.33599, "lon": 48.27639, "name": "Abbadan", "topType": "low", "product": "other", "comment": "towns: Reed mats (Cornu 3)", } , 	other
al-Iraq	al-Basra	Al-Basra	capitals	47.71794	30.40472	Cornu 3	Fish, dates, meat, vegetables, grains, dairy, silks, linens, galbanum, pearls, gems, antimony, cinnabar, verdigris, silver, henna, essence of violet, rosewater			high	foods	 { "lat": 30.40472, "lon": 47.71794, "name": "Al-Basra", "topType": "high", "product": "foods", "comment": "capitals: Fish, dates, meat, vegetables, grains, dairy, silks, linens, galbanum, pearls, gems, antimony, cinnabar, verdigris, silver, henna, essence of violet, rosewater (Cornu 3)", } , 	foods, other, textiles
al-Iraq	al-Kufa	Al-Kufa	metropoles	44.38095	32.0469	Cornu 3	Silk turbans, essence of violet, dates			medium	foods	 { "lat": 32.0469, "lon": 44.38095, "name": "Al-Kufa", "topType": "medium", "product": "foods", "comment": "metropoles: Silk turbans, essence of violet, dates (Cornu 3)", } , 	foods, textiles
al-Iraq	Baghdad	Al-Mada'in	towns	44.59468	33.09255	Cornu 3	Brick			low	materials	 { "lat": 33.09255, "lon": 44.59468, "name": "Al-Mada'in", "topType": "low", "product": "materials", "comment": "towns: Brick (Cornu 3)", } , 	materials
al-Iraq	Baghdad	Al-Nu'maniyya	villages	45.42572	32.59735	Cornu 3	Honey-colored wool cloth, garments			low	textiles	 { "lat": 32.59735, "lon": 45.42572, "name": "Al-Nu'maniyya", "topType": "low", "product": "textiles", "comment": "villages: Honey-colored wool cloth, garments (Cornu 3)", } , 	textiles
al-Iraq	al-Kufa	Al-Qadisiyya	towns	44.16721	31.7787	Cornu 3	Clay			low	materials	 { "lat": 31.7787, "lon": 44.16721, "name": "Al-Qadisiyya", "topType": "low", "product": "materials", "comment": "towns: Clay (Cornu 3)", } , 	materials
al-Iraq	al-Basra	Al-Ubulla	towns	47.83653	30.49856	Cornu 3	Linen, embroidery			low	textiles	 { "lat": 30.49856, "lon": 47.83653, "name": "Al-Ubulla", "topType": "low", "product": "textiles", "comment": "towns: Linen, embroidery (Cornu 3)", } , 	textiles
al-Iraq	Baghdad	Baghdad	metropoles	44.35661	33.35759	Cornu 3	Silk, rush mats, shawls, turbans			medium	textiles	 { "lat": 33.35759, "lon": 44.35661, "name": "Baghdad", "topType": "medium", "product": "textiles", "comment": "metropoles: Silk, rush mats, shawls, turbans (Cornu 3)", } , 	textiles
al-Iraq	Hulwan	Hulwan	capitals	45.85673	34.47903	Cornu 3	Grapes, figs, gypsum, stone			low	foods	 { "lat": 34.47903, "lon": 45.85673, "name": "Hulwan", "topType": "low", "product": "foods", "comment": "capitals: Grapes, figs, gypsum, stone (Cornu 3)", } , 	foods, materials
al-Iraq	al-Kufa	Sura	towns	44.3659	32.64543	Cornu 3	Fruits, grapes			low	foods	 { "lat": 32.64543, "lon": 44.3659, "name": "Sura", "topType": "low", "product": "foods", "comment": "towns: Fruits, grapes (Cornu 3)", } , 	foods
al-Iraq	Samarra	Takrit	towns	43.69726	34.59276	Cornu 3	Sesame, wool			low	foods	 { "lat": 34.59276, "lon": 43.69726, "name": "Takrit", "topType": "low", "product": "foods", "comment": "towns: Sesame, wool (Cornu 3)", } , 	foods, textiles
al-Iraq	Baghdad	Ukbara	towns	44.22385	33.85513	Cornu 3	Fruits, grapes			low	foods	 { "lat": 33.85513, "lon": 44.22385, "name": "Ukbara", "topType": "low", "product": "foods", "comment": "towns: Fruits, grapes (Cornu 3)", } , 	foods
al-Iraq	Wasit	Wasit	capitals	46.32048	32.19906	Cornu 3	Fish, draperies			low	foods	 { "lat": 32.19906, "lon": 46.32048, "name": "Wasit", "topType": "low", "product": "foods", "comment": "capitals: Fish, draperies (Cornu 3)", } , 	foods, textiles
al-Jazira	Diyar Rabi'a	Al-Haditha	towns	42.38721	34.10618	Cornu 2	Clay			low	materials	 { "lat": 34.10618, "lon": 42.38721, "name": "Al-Haditha", "topType": "low", "product": "materials", "comment": "towns: Clay (Cornu 2)", } , 	materials
al-Jazira	Diyar Rabi'a	Al-Hasaniyya	towns	42.95071	37.02848	Cornu 2	Cheese, partridge, chickens, fruits, raisins			high	foods	 { "lat": 37.02848, "lon": 42.95071, "name": "Al-Hasaniyya", "topType": "high", "product": "foods", "comment": "towns: Cheese, partridge, chickens, fruits, raisins (Cornu 2)", } , 	foods
al-Jazira	Diyar Bakr	Al-Jibal	towns	41.62311	36.23972	Cornu 2	Stone, clay			low	materials	 { "lat": 36.23972, "lon": 41.62311, "name": "Al-Jibal", "topType": "low", "product": "materials", "comment": "towns: Stone, clay (Cornu 2)", } , 	materials
al-Jazira	Diyar Rabi'a	Al-Mawsil	metropoles	43.12573	36.32392	Cornu 2	Fruits, meats, gypsum, stone, leather, grains, honey, coal, fats, cheese, honeydew, sumac, pomegranate seeds, pitch, iron, metal buckets, knives, arrows, fish, chains			high	foods	 { "lat": 36.32392, "lon": 43.12573, "name": "Al-Mawsil", "topType": "high", "product": "foods", "comment": "metropoles: Fruits, meats, gypsum, stone, leather, grains, honey, coal, fats, cheese, honeydew, sumac, pomegranate seeds, pitch, iron, metal buckets, knives, arrows, fish, chains (Cornu 2)", } , 	foods, materials, other
