name	Snippet	styleUrl	longitude	latitude	altitude	Type	Region
Wando	Record 325	#defaultStyleMap	126.6833	34.35	0	Hydrothermal	Korean Peninsula
Georgina Basin	Record 52	#defaultStyleMap	139.9667	-21.8833	0	Sedimentary	Australia
Wheal Jane	Record 1880	#defaultStyleMap	-5.2	50.2333333333333	0	Hydrothermal	United Kingdom
Kaldygajtinskoe	Record 1979	#defaultStyleMap	53.6058333333333	49.8063888888889	0	Sedimentary	Kazakhstan
Imiter	Record 2548	#defaultStyleMap	-5.8336	31.35	0	Hydrothermal	Morocco
Altanboom	Record 379	#defaultStyleMap	98.5	50.3333	0	Metamorphic	Mongolia
Udon Thani- North	Record 450	#defaultStyleMap	103.0833	17.5	0	Sedimentary	Thailand
Udon Thani- South	Record 451	#defaultStyleMap	102.6667	17.3333	0	Sedimentary	Thailand
Cape Flattery	Record 55	#defaultStyleMap	145.25	-14.9333	0	Surficial	Australia
Bayfield	Record 57	#defaultStyleMap	150.7667	-22.8	0	Surficial	Australia
Cataby	Record 58	#defaultStyleMap	115.5167	-30.7167	0	Surficial	Australia
Chetwynd	Record 59	#defaultStyleMap	141.4167	-37.2167	0	Surficial	Australia
Coojarloo	Record 60	#defaultStyleMap	115.3333	-30.6667	0	Surficial	Australia
Eneabba	Record 61	#defaultStyleMap	115.2667	-29.9	0	Surficial	Australia
Frazer Island	Record 62	#defaultStyleMap	153.25	-24.6667	0	Surficial	Australia
Ginko	Record 63	#defaultStyleMap	142.15	-33.3833	0	Surficial	Australia
Mindarie	Record 64	#defaultStyleMap	140.2167	-34.8167	0	Surficial	Australia
North Stradbroke Island	Record 65	#defaultStyleMap	153.45	-27.5833	0	Surficial	Australia
Stradbroke Island	Record 66	#defaultStyleMap	153.9	-27.5	0	Surficial	Australia
WIM 150	Record 67	#defaultStyleMap	142.2167	-36.7167	0	Surficial	Australia
Moiskal Island	Record 74	#defaultStyleMap	91.9167	21.3333	0	Surficial	Bangladesh
Puqian	Record 221	#defaultStyleMap	110.5833	20.0333	0	Surficial	China
Fuhezhong	Record 229	#defaultStyleMap	111.5167	24.5333	0	Surficial	China
Chatrapur	Record 272	#defaultStyleMap	84.95	19.3	0	Surficial	India
Chavara	Record 273	#defaultStyleMap	76.5	9	0	Surficial	India
Manavala Kurichi	Record 274	#defaultStyleMap	77.25	8.1667	0	Surficial	India
Nindakara	Record 275	#defaultStyleMap	76.5833	8.6667	0	Surficial	India
Vishakhapatnam	Record 276	#defaultStyleMap	83.5333	17.8333	0	Surficial	India
Bukit/Sungai	Record 335	#defaultStyleMap	103.0667	3.8833	0	Surficial	Malaysia
Kinta Valley	Record 336	#defaultStyleMap	101	4.3	0	Surficial	Malaysia
Pahang/Selangor	Record 337	#defaultStyleMap	101.6667	3.8333	0	Surficial	Malaysia
Parengarenga	Record 399	#defaultStyleMap	172.9587	-31.5283	0	Surficial	New Zealand
Barrytown	Record 400	#defaultStyleMap	171.3167	-42.208	0	Surficial	New Zealand
Westport	Record 401	#defaultStyleMap	171.55	-41.7833	0	Surficial	New Zealand
Pulmoddai	Record 447	#defaultStyleMap	80.95	8.95	0	Surficial	Sri Lanka
Nakhon Si Thammarat	Record 454	#defaultStyleMap	99.8	9.05	0	Surficial	Thailand
Phuket Area, Offsh	Record 455	#defaultStyleMap	98.25	7.9167	0	Surficial	Thailand
Ranong Area	Record 456	#defaultStyleMap	98.6333	9.85	0	Surficial	Thailand
Takua Pa/Phang Nga	Record 457	#defaultStyleMap	98.2833	8.8333	0	Surficial	Thailand
Cat Khanh	Record 464	#defaultStyleMap	105.2	13.5	0	Surficial	Vietnam
Ke Sung	Record 465	#defaultStyleMap	107.5833	16.5	0	Surficial	Vietnam
Mi Tho	Record 466	#defaultStyleMap	109.25	13.75	0	Surficial	Vietnam
Cartersville district	Record 841	#defaultStyleMap	-84.767	34.15	0	Surficial	United States
Kaiyang	Record 213	#defaultStyleMap	106.9167	27.05	0	Unclassified	China
Chichibu	Record 311	#defaultStyleMap	138.815	36.0172	0	Unclassified	Japan
Khajuu Ulaan	Record 351	#defaultStyleMap	109.8667	46.2667	0	Unclassified	Mongolia
Hubsgul Basin	Record 368	#defaultStyleMap	100.1667	50.6833	0	Unclassified	Mongolia
Kharidhunga	Record 389	#defaultStyleMap	85.9417	27.6333	0	Unclassified	Nepal
Lao Cai Basin	Record 461	#defaultStyleMap	103.95	22.5	0	Unclassified	Vietnam
Glomel	Record 1919	#defaultStyleMap	3.4	48.2166666666667	0	Unclassified	France
Black Canyon	Record 633	#defaultStyleMap	-112.21	34.12	0	Igneous	United States
Mountain Green	Record 847	#defaultStyleMap	-111.783	41.15	0	Unclassified	United States
Wind Mountain	Record 634	#defaultStyleMap	-105.515	32.025	0	Igneous	United States
McClure Mountain Complex	Record 635	#defaultStyleMap	-105.467	38.35	0	Igneous	United States
Iron Hill (Powderhorn, Cebolla Creek)	Record 636	#defaultStyleMap	-107.05	38.25	0	Igneous	United States
Deep Creek	Record 637	#defaultStyleMap	-119.95	42.05	0	Igneous	United States
Gem Park	Record 640	#defaultStyleMap	-105.55	38.267	0	Igneous	United States
Tucker - Poplar Lake deposit	Record 644	#defaultStyleMap	-90.667	48.167	0	Igneous	United States
Spor Mountain	Record 468	#defaultStyleMap	-113.217	39.707	0	Hydrothermal	United States
Yichang	Record 216	#defaultStyleMap	111.3333	30.8	0	Sedimentary	China
Molodiezhnoe	Record 1455	#defaultStyleMap	58.5166666666667	50.35	0	Igneous	Kazakhstan
Baltic	Record 471	#defaultStyleMap	-88.634	47.065	0	Hydrothermal	United States
Khewra Salt Mines	Record 411	#defaultStyleMap	73.0167	32.65	0	Sedimentary	Pakistan
Arctic Camp	Record 599	#defaultStyleMap	-156.386	67.181	0	Hydrothermal	United States
Jiawula	Record 223	#defaultStyleMap	116.3333	48.8	0	Metamorphic	China
Dachang	Record 228	#defaultStyleMap	107.8333	24.8333	0	Metamorphic	China
Daijishan	Record 234	#defaultStyleMap	114.4	24.6333	0	Metamorphic	China
Damingshan	Record 235	#defaultStyleMap	108.3667	23.6	0	Metamorphic	China
Yaogangxian	Record 239	#defaultStyleMap	113.3	25.65	0	Metamorphic	China
Tengchong	Record 240	#defaultStyleMap	98.4667	25.0333	0	Metamorphic	China
Tiegsongshan	Record 241	#defaultStyleMap	124.3167	43.3	0	Metamorphic	China
